E,0.1209652247516903
T,0.08938126949659495
A,0.08551690673195275
O,0.07467265410810447
I,0.0732511860723129
N,0.07172184876283856
S,0.06728203117491646
R,0.0633271013284023
H,0.04955707280570641
L,0.04206464329306453
D,0.03871183735737418
C,0.03164435380900101
U,0.026815809362304373
M,0.025263217360184446
F,0.021815103969122528
G,0.020863354250923158
P,0.020661660788966266
W,0.018253618950416498
Y,0.017213606152473405
B,0.016047959168228293
V,0.01059346274662571
K,0.008086975227142329
J,0.002197788956104563
X,0.0019135048594134572
Z,0.001137563214703838
Q,0.0010402453014323196
